city,timestamp,temperature,season
New York,2010-01-01,-0.9685369839277962,winter
New York,2010-01-02,-1.0519504321787643,winter
New York,2010-01-03,-3.143617803150956,winter
New York,2010-01-04,-1.9473721425587365,winter
New York,2010-01-05,4.941685555224809,winter
New York,2010-01-06,1.0009260556476172,winter
New York,2010-01-07,2.740500533712327,winter
New York,2010-01-08,13.21027803331498,winter
New York,2010-01-09,-7.390685576261898,winter
New York,2010-01-10,5.161152562554784,winter
New York,2010-01-11,-7.466563539682475,winter
New York,2010-01-12,-5.261865643660278,winter
New York,2010-01-13,-3.5720339361998095,winter
New York,2010-01-14,-2.881542061599027,winter
New York,2010-01-15,5.273752225868397,winter
New York,2010-01-16,5.820405758095876,winter
New York,2010-01-17,-7.947531859655622,winter
New York,2010-01-18,-4.580765933822771,winter
New York,2010-01-19,4.12347434741224,winter
New York,2010-01-20,-1.8641008558334193,winter
New York,2010-01-21,0.16261308445051087,winter
New York,2010-01-22,3.396149081964808,winter
New York,2010-01-23,6.537932959407575,winter
New York,2010-01-24,-6.516890459733266,winter
New York,2010-01-25,6.485741794836234,winter
New York,2010-01-26,2.5417007529676914,winter
New York,2010-01-27,-13.945962325039527,winter
New York,2010-01-28,-7.191629309659352,winter
New York,2010-01-29,0.32184666174572446,winter
New York,2010-01-30,-2.1711477658178824,winter
New York,2010-01-31,-4.476068805943553,winter
New York,2010-02-01,-10.273732918125924,winter
New York,2010-02-02,-7.045267672316449,winter
New York,2010-02-03,-3.415100345312543,winter
New York,2010-02-04,-4.466768774147377,winter
New York,2010-02-05,3.6026909134168723,winter
New York,2010-02-06,-0.6385057562754176,winter
New York,2010-02-07,0.5333490104431539,winter
New York,2010-02-08,-6.636760653545575,winter
New York,2010-02-09,-1.043563867354582,winter
New York,2010-02-10,-1.9919988423631587,winter
New York,2010-02-11,-4.3631488570073,winter
New York,2010-02-12,-11.433906476699198,winter
New York,2010-02-13,4.644500787751442,winter
New York,2010-02-14,5.70330636202887,winter
New York,2010-02-15,0.3727362026827684,winter
New York,2010-02-16,6.126455803354842,winter
New York,2010-02-17,7.8466570381139364,winter
New York,2010-02-18,-3.0419854682296545,winter
New York,2010-02-19,-5.811667078142472,winter
New York,2010-02-20,2.925160467974512,winter
New York,2010-02-21,-6.8297684772835465,winter
New York,2010-02-22,-2.7319960769488523,winter
New York,2010-02-23,9.048055609491039,winter
New York,2010-02-24,0.7220835177812385,winter
New York,2010-02-25,-8.922472306998024,winter
New York,2010-02-26,-6.176099508699807,winter
New York,2010-02-27,-1.741071963576419,winter
New York,2010-02-28,7.1020821733703805,winter
New York,2010-03-01,11.698745497942298,spring
New York,2010-03-02,10.479687121999486,spring
New York,2010-03-03,14.512773124955746,spring
New York,2010-03-04,13.067272669347744,spring
New York,2010-03-05,5.1203566516373265,spring
New York,2010-03-06,14.279443523250663,spring
New York,2010-03-07,12.846553195653128,spring
New York,2010-03-08,15.557937478255262,spring
New York,2010-03-09,6.490097644612549,spring
New York,2010-03-10,12.680733389305141,spring
New York,2010-03-11,13.621320819556892,spring
New York,2010-03-12,7.885600826367807,spring
New York,2010-03-13,7.542830792423718,spring
New York,2010-03-14,13.490203852247085,spring
New York,2010-03-15,15.884303382268136,spring
New York,2010-03-16,15.558971427739458,spring
New York,2010-03-17,13.143230806293033,spring
New York,2010-03-18,13.338828423860164,spring
New York,2010-03-19,10.851876129788199,spring
New York,2010-03-20,16.376233991477534,spring
New York,2010-03-21,8.79462549547326,spring
New York,2010-03-22,14.492771623122021,spring
New York,2010-03-23,12.677122726668575,spring
New York,2010-03-24,6.256272563098721,spring
New York,2010-03-25,7.883642931777366,spring
New York,2010-03-26,10.475483827703531,spring
New York,2010-03-27,3.0743147438469194,spring
New York,2010-03-28,15.47567615266442,spring
New York,2010-03-29,17.670344157683033,spring
New York,2010-03-30,15.007706273196852,spring
New York,2010-03-31,17.026460592696182,spring
New York,2010-04-01,20.9868315642059,spring
New York,2010-04-02,16.974943711412365,spring
New York,2010-04-03,10.96238946303822,spring
New York,2010-04-04,11.971699931139339,spring
New York,2010-04-05,1.2901998886402168,spring
New York,2010-04-06,7.499283669368911,spring
New York,2010-04-07,9.455479814356007,spring
New York,2010-04-08,13.60631707156121,spring
New York,2010-04-09,7.3699884172111485,spring
New York,2010-04-10,7.7682446458864405,spring
New York,2010-04-11,20.25350762605055,spring
New York,2010-04-12,9.60294727524902,spring
New York,2010-04-13,5.015908206023137,spring
New York,2010-04-14,3.0811398510004704,spring
New York,2010-04-15,10.89981483381445,spring
New York,2010-04-16,9.240456368442956,spring
New York,2010-04-17,9.920678866353546,spring
New York,2010-04-18,7.763882871823732,spring
New York,2010-04-19,11.416884770068918,spring
New York,2010-04-20,8.381765160124923,spring
New York,2010-04-21,11.184600965550914,spring
New York,2010-04-22,15.862845944739677,spring
New York,2010-04-23,7.564462143058591,spring
New York,2010-04-24,4.7733635330058375,spring
New York,2010-04-25,23.818039666399926,spring
New York,2010-04-26,15.35482338306244,spring
New York,2010-04-27,5.811699293220274,spring
New York,2010-04-28,11.858504658759871,spring
New York,2010-04-29,2.09995331705419,spring
New York,2010-04-30,7.267969744851164,spring
New York,2010-05-01,11.279277423112617,spring
New York,2010-05-02,9.56028348135342,spring
New York,2010-05-03,18.097088344952773,spring
New York,2010-05-04,12.510392815633448,spring
New York,2010-05-05,12.764712014537237,spring
New York,2010-05-06,24.336140894934186,spring
New York,2010-05-07,9.630473255610354,spring
New York,2010-05-08,3.4845286096956416,spring
New York,2010-05-09,8.231537564612113,spring
New York,2010-05-10,9.023954399902397,spring
New York,2010-05-11,12.588891007349426,spring
New York,2010-05-12,7.216330705524856,spring
New York,2010-05-13,10.75522381275058,spring
New York,2010-05-14,6.5566592593917825,spring
New York,2010-05-15,9.231457537806739,spring
New York,2010-05-16,12.842199146827134,spring
New York,2010-05-17,16.936672267989152,spring
New York,2010-05-18,3.3213828401463887,spring
New York,2010-05-19,6.306453493451287,spring
New York,2010-05-20,11.532088592422529,spring
New York,2010-05-21,12.861617708799665,spring
New York,2010-05-22,6.628951588304073,spring
New York,2010-05-23,5.639885102360596,spring
